,1.Already Submitted Application,    1.1 Status of ticket application,1.1 Connection with Agent,   1.2 How to check the status,   0. Return to main menu,2. How to Complete or Submit an Application,   2.1 Ticket application process,         2.1.1 Online process,         2.1.2 Household restrictions,   2.2 Other information for the process,         2.2.1 The personal details,         2.2.2 Types of accessibility tickets,         2.2.3 Household restrictions,   0. Return to main menu,3. Information about Ticket Sales,   3.1 Ticket products,   3.2 Sales phases,   3.3 Ticket categories,   3.4 Ticket prices,   3.5 Confirmed tickets,   0. Return to main menu,4. Payment Methods,    4.1. Payment Methods,    0. Return to main menu,5. Any Other Enquires,   5.1 Cancellation and Resale,   5.2 Household restrictions,   5.3 Matches,   5.4 Legal documents,5.4 Connection with Agent,   5.5 Fan ID,   5.6 Health and Safety measures,   0. Return to main menu
2/28/2023,7,5,2,0,0,5,1,1,0,0,1,0,1,1,2,0,0,1,1,0,0,0,0,0,16,2,3,2,0,1,2,3,3
3/1/2023,5,2,0,1,2,3,0,1,0,0,1,0,1,0,2,0,1,0,0,1,0,1,0,1,11,0,2,2,0,0,3,1,3
3/2/2023,5,1,0,1,3,2,0,0,0,0,1,0,0,1,3,0,0,1,1,1,0,1,1,0,12,2,1,3,3,0,1,0,2
3/3/2023,12,1,4,4,3,5,0,1,1,0,0,1,1,1,4,1,0,1,1,0,1,1,0,1,14,2,2,2,3,2,0,3,0
3/4/2023,15,5,1,5,4,3,0,0,0,0,0,1,1,1,3,0,1,0,1,0,1,0,0,0,10,1,1,0,1,2,1,2,2
3/5/2023,18,4,4,5,5,5,1,0,0,1,1,1,0,1,2,1,0,0,1,0,0,0,0,0,10,0,1,3,1,3,0,0,2
3/6/2023,19,5,5,4,5,5,1,0,0,1,1,1,1,0,5,1,1,0,1,1,1,0,0,0,11,2,2,0,2,3,0,2,0
3/7/2023,7,1,1,5,0,4,0,0,1,1,1,0,1,0,2,0,0,1,1,0,0,2,1,1,7,0,1,1,1,1,3,0,0
3/8/2023,14,2,5,2,5,3,0,1,0,0,0,1,0,1,5,0,1,1,1,1,1,1,0,1,15,2,3,3,3,0,0,1,3
3/9/2023,17,4,4,4,5,4,1,0,0,1,1,1,0,0,3,1,0,0,0,1,1,1,1,0,16,3,2,2,1,1,1,3,3
3/10/2023,16,2,5,5,4,4,0,0,1,1,0,0,1,1,3,1,1,0,1,0,0,1,0,1,7,0,2,1,1,2,0,1,0
3/11/2023,11,1,4,2,4,4,0,1,0,1,0,0,1,1,3,0,1,1,0,1,0,1,1,0,18,3,3,1,1,3,3,1,3
3/12/2023,6,0,1,3,2,6,0,1,1,1,1,0,1,1,4,0,0,1,1,1,1,1,0,1,13,3,1,3,1,1,2,0,2
3/13/2023,12,1,4,4,3,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,2,0,0,2,0,1,0,1
3/14/2023,14,4,2,3,5,4,1,1,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,8,2,1,0,3,1,0,0,1
3/15/2023,15,4,2,5,4,2,1,0,0,0,1,0,0,0,3,1,1,1,0,0,0,1,0,1,9,1,0,3,0,2,0,3,0
3/16/2023,11,0,5,2,4,5,1,0,1,0,1,1,1,0,5,1,0,1,1,1,1,2,1,1,10,0,2,2,1,2,2,1,0
3/17/2023,9,0,1,3,5,3,0,0,1,1,0,0,1,0,2,0,1,0,0,1,0,1,1,0,11,2,0,1,2,1,2,2,1
3/18/2023,9,2,0,4,3,6,0,0,1,1,1,1,1,1,2,0,0,1,0,0,1,1,1,0,13,1,1,1,3,1,2,1,3
3/19/2023,14,0,5,5,4,3,0,0,0,1,0,0,1,1,5,1,1,1,1,0,1,0,0,0,14,2,1,3,3,2,0,2,1
3/20/2023,11,3,0,5,3,3,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,10,2,3,2,0,0,1,0,2
3/21/2023,17,4,5,5,3,6,1,1,1,1,1,0,0,1,3,0,0,1,1,0,1,1,1,0,18,2,2,3,2,3,2,2,2
3/22/2023,7,2,3,2,0,4,1,0,1,0,1,0,0,1,2,0,1,1,0,0,0,2,1,1,12,2,0,1,2,0,3,2,2
3/23/2023,6,1,0,4,1,4,0,0,1,1,1,0,0,1,2,1,0,0,0,1,0,1,1,0,12,0,0,1,3,0,3,2,3
3/24/2023,5,0,1,0,4,5,1,1,0,1,1,1,0,0,3,0,1,1,0,1,0,1,0,1,16,1,3,3,3,1,3,2,0
3/25/2023,13,3,1,5,4,5,1,1,0,1,1,0,0,1,5,1,1,1,1,0,1,2,1,1,8,0,1,2,0,3,0,2,0
3/26/2023,15,3,4,5,3,6,1,1,0,1,0,1,1,1,4,1,1,1,1,0,0,1,1,0,9,0,1,1,3,1,1,2,0
3/27/2023,11,1,5,5,0,6,1,1,1,1,0,1,1,0,3,1,1,0,0,1,0,0,0,0,13,3,1,3,0,1,1,2,2
3/28/2023,9,2,5,0,2,3,1,0,1,0,1,0,0,0,2,0,0,1,0,0,1,2,1,1,12,2,1,2,3,1,1,2,0
3/29/2023,8,5,2,0,1,6,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,16,1,3,2,3,3,1,0,3
3/30/2023,7,1,1,5,0,4,0,0,1,0,1,1,0,1,3,0,0,1,0,1,1,0,0,0,9,0,1,1,0,0,3,1,3
3/31/2023,14,1,3,5,5,4,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,9,0,0,2,1,1,1,3,1
4/1/2023,8,0,2,3,3,5,1,1,1,0,0,1,1,0,5,0,1,1,1,1,1,2,1,1,11,2,0,0,0,3,3,1,2
4/2/2023,7,5,0,2,0,5,1,1,0,0,0,1,1,1,3,0,0,0,1,1,1,0,0,0,11,3,3,2,0,1,1,1,0
4/3/2023,7,2,1,4,0,4,0,0,1,1,0,0,1,1,4,0,1,1,1,0,1,2,1,1,12,2,1,1,1,1,2,3,1
4/4/2023,13,1,4,4,4,3,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,17,1,3,2,1,2,3,3,2
4/5/2023,11,3,4,1,3,5,1,1,1,0,0,1,0,1,2,1,0,1,0,0,0,1,1,0,7,0,3,2,0,2,0,0,0
4/6/2023,5,1,2,0,2,5,1,0,1,0,1,1,0,1,4,0,1,1,1,0,1,2,1,1,9,3,0,2,2,0,2,0,0
4/7/2023,8,3,3,0,2,4,0,1,0,1,0,0,1,1,2,0,1,1,0,0,0,0,0,0,12,0,3,2,1,3,2,1,0
4/8/2023,12,1,4,4,3,7,1,0,1,1,1,1,1,1,4,0,1,1,1,0,1,1,1,0,12,1,3,3,1,0,2,1,1
4/9/2023,12,2,3,3,4,6,1,1,1,0,1,1,1,0,4,1,1,1,0,0,1,2,1,1,8,1,1,2,0,1,3,0,0
4/10/2023,11,4,4,3,0,2,1,0,1,0,0,0,0,0,4,1,0,0,1,1,1,0,0,0,11,0,0,2,1,2,3,2,1
4/11/2023,12,0,3,5,4,3,0,0,1,0,0,1,0,1,2,0,0,0,1,0,1,1,0,1,13,0,3,1,0,3,1,2,3
4/12/2023,8,0,0,5,3,4,0,0,1,0,1,0,1,1,4,0,0,1,1,1,1,2,1,1,13,3,2,0,2,1,3,0,2
4/13/2023,7,1,5,0,1,4,1,0,1,1,0,1,0,0,2,1,1,0,0,0,0,1,0,1,12,3,0,3,0,2,1,3,0
4/14/2023,10,2,5,0,3,5,0,1,1,0,1,0,1,1,2,1,0,0,0,1,0,1,0,1,11,1,3,0,3,1,0,0,3
4/15/2023,14,5,3,1,5,3,1,0,0,0,0,1,1,0,3,1,0,1,0,1,0,1,1,0,12,3,0,1,3,1,0,1,3
4/16/2023,10,4,1,0,5,6,1,1,0,1,0,1,1,1,2,0,1,1,0,0,0,0,0,0,13,3,1,1,1,3,0,1,3
4/17/2023,14,3,5,2,4,3,0,0,0,1,0,1,0,1,4,0,1,1,1,0,1,1,0,1,10,1,2,1,1,0,0,3,2
4/18/2023,11,4,3,3,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,1,11,1,0,3,3,3,0,0,1
4/19/2023,11,0,5,1,5,4,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,9,1,3,2,2,0,0,1,0
4/20/2023,3,1,0,2,0,5,0,0,0,1,1,1,1,1,5,1,1,1,0,1,1,1,1,0,11,3,0,0,0,2,1,3,2
4/21/2023,16,4,3,5,4,5,0,1,0,0,1,1,1,1,4,1,0,1,0,1,1,1,0,1,14,2,2,1,1,3,2,0,3
4/22/2023,15,2,3,5,5,4,1,0,0,1,0,0,1,1,4,0,1,1,0,1,1,0,0,0,14,1,2,2,0,2,3,1,3
4/23/2023,7,3,2,1,1,3,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,13,0,0,3,2,1,2,3,2
4/24/2023,12,0,4,5,3,5,1,1,1,0,1,1,0,0,2,1,0,0,1,0,0,1,0,1,15,3,3,1,0,3,2,1,2
4/25/2023,9,2,3,1,3,4,0,0,0,0,1,1,1,1,3,1,1,0,0,0,1,0,0,0,13,3,1,1,1,1,0,3,3
4/26/2023,5,2,0,3,0,5,1,0,1,1,0,0,1,1,2,0,0,1,0,1,0,1,1,0,11,2,2,0,0,2,1,1,3
4/27/2023,12,3,3,4,2,3,1,0,1,0,1,0,0,0,4,1,1,1,0,1,0,2,1,1,11,2,2,2,0,1,2,2,0
4/28/2023,9,1,4,1,3,8,1,1,1,1,1,1,1,1,3,0,1,0,1,1,0,1,1,0,13,0,1,3,3,0,0,3,3
4/29/2023,14,0,5,5,4,3,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,11,0,3,2,0,0,2,2,2
4/30/2023,7,0,0,2,5,5,1,0,1,1,0,1,1,0,3,1,0,1,0,0,1,1,1,0,10,2,1,0,1,0,3,2,1
5/1/2023,8,0,0,4,4,4,1,0,1,0,1,0,1,0,3,1,0,0,0,1,1,1,0,1,16,2,3,0,3,1,1,3,3
5/2/2023,14,5,4,2,3,5,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,11,1,2,1,2,2,3,0,0
5/3/2023,10,5,2,2,1,4,0,1,0,0,1,1,1,0,3,1,0,0,0,1,1,1,0,1,16,3,3,1,2,2,0,3,2
5/4/2023,7,0,3,3,1,5,0,1,1,1,0,1,1,0,4,0,1,1,0,1,1,0,0,0,11,3,2,1,3,1,0,0,1
5/5/2023,9,1,3,2,3,4,1,1,0,0,1,0,0,1,4,1,1,1,0,0,1,1,1,0,11,1,0,3,1,0,3,1,2
5/6/2023,8,5,0,2,1,3,1,0,0,0,1,0,1,0,4,0,0,1,1,1,1,0,0,0,14,2,0,2,3,0,1,3,3
5/7/2023,13,3,2,4,4,4,1,0,0,0,1,1,1,0,5,1,1,1,1,0,1,2,1,1,11,1,3,2,2,0,1,1,1
5/8/2023,8,2,2,4,0,2,1,1,0,0,0,0,0,0,4,0,1,1,1,0,1,2,1,1,11,0,1,3,0,3,1,1,2
5/9/2023,5,0,0,2,3,4,1,1,0,0,0,1,0,1,3,0,0,1,1,1,0,0,0,0,6,0,3,0,0,0,0,3,0
5/10/2023,7,0,0,2,5,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,1,0,1,15,3,3,1,0,3,3,2,0
5/11/2023,8,1,3,0,4,3,0,1,0,0,1,0,1,0,4,1,0,0,1,1,1,1,1,0,11,1,3,3,0,1,1,0,2
5/12/2023,11,2,0,5,4,3,0,0,1,0,1,0,0,1,4,0,1,0,1,1,1,2,1,1,15,2,1,2,0,3,1,3,3
5/13/2023,13,2,2,4,5,3,1,0,0,1,0,1,0,0,3,1,0,1,1,0,0,1,0,1,13,3,2,1,2,0,1,3,1
5/14/2023,6,0,3,3,0,3,0,1,0,0,0,1,1,0,4,1,0,0,1,1,1,1,1,0,5,1,0,2,0,0,0,1,1
5/15/2023,10,4,0,2,4,4,0,0,1,1,0,1,1,0,4,0,1,1,1,1,0,1,1,0,10,0,3,3,0,2,2,0,0
5/16/2023,9,5,1,2,1,3,0,0,1,0,0,1,1,0,2,1,1,0,0,0,0,1,0,1,14,3,3,0,3,1,1,2,1
5/17/2023,12,4,3,5,0,4,0,1,1,0,1,0,1,0,4,1,1,0,1,0,1,1,1,0,13,2,3,2,1,0,2,1,2
5/18/2023,8,5,0,0,3,4,0,1,0,0,0,1,1,1,3,0,0,1,0,1,1,0,0,0,8,0,3,0,2,0,0,0,3
5/19/2023,7,2,2,2,1,4,0,0,1,0,1,0,1,1,3,1,1,0,0,1,0,1,0,1,10,2,1,3,1,2,0,0,1
5/20/2023,15,5,5,3,2,3,0,1,1,1,0,0,0,0,4,1,1,0,1,1,0,0,0,0,16,3,2,2,3,3,0,0,3
5/21/2023,7,0,2,5,0,5,1,1,0,1,1,1,0,0,3,0,0,0,1,1,1,1,0,1,10,2,0,2,1,3,1,1,0
5/22/2023,11,4,2,1,4,6,1,0,1,1,1,1,1,0,2,0,0,1,0,1,0,0,0,0,15,1,1,2,2,2,3,1,3
5/23/2023,7,2,5,0,0,6,1,1,0,1,1,1,1,0,2,0,0,1,1,0,0,1,0,1,8,3,1,1,0,0,2,1,0
5/24/2023,7,0,3,4,0,3,1,1,0,0,0,0,0,1,2,1,0,0,0,1,0,1,0,1,7,1,0,2,0,1,0,1,2
5/25/2023,7,1,2,1,3,5,0,0,1,0,1,1,1,1,3,1,0,0,1,1,0,2,1,1,13,3,1,2,0,2,2,2,1
5/26/2023,15,3,2,5,5,5,1,0,1,1,0,1,1,0,4,1,1,1,0,0,1,1,1,0,12,3,0,3,2,2,1,0,1
5/27/2023,6,0,5,1,0,2,1,0,1,0,0,0,0,0,5,1,1,1,1,0,1,1,0,1,13,1,2,2,2,3,1,1,1
5/28/2023,15,5,1,5,4,3,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,14,3,3,1,0,1,2,1,3
5/29/2023,8,0,0,4,4,4,1,1,0,0,1,0,0,1,3,1,0,1,0,1,0,1,0,1,11,1,0,2,1,2,3,0,2
5/30/2023,7,3,3,0,1,5,0,0,1,1,1,1,0,1,3,1,1,1,0,0,0,0,0,0,14,2,0,2,0,1,3,3,3
5/31/2023,8,3,0,0,5,5,1,1,1,1,1,0,0,0,2,1,1,0,0,0,0,1,0,1,13,0,2,2,1,1,3,2,2
6/1/2023,12,1,1,5,5,2,0,1,0,0,0,0,1,0,5,1,1,0,1,1,1,1,0,1,14,1,1,3,3,2,3,0,1
6/2/2023,12,3,3,5,1,3,0,1,0,0,1,1,0,0,2,0,1,0,0,0,1,2,1,1,14,3,1,0,3,1,1,2,3
6/3/2023,6,1,0,2,3,7,1,1,1,1,0,1,1,1,2,0,0,1,0,0,1,1,1,0,15,1,3,0,2,2,2,3,2
6/4/2023,9,1,4,3,1,5,0,0,0,1,1,1,1,1,4,1,1,1,0,0,1,1,1,0,7,1,0,0,0,2,1,0,3
6/5/2023,9,1,1,4,3,4,0,1,0,1,1,1,0,0,4,0,1,1,1,1,0,1,0,1,9,0,1,3,2,2,0,0,1
6/6/2023,15,2,3,5,5,5,1,0,0,1,1,0,1,1,3,0,1,1,0,1,0,1,1,0,14,0,2,2,1,2,3,1,3
6/7/2023,11,5,4,1,1,4,1,0,0,1,0,1,1,0,3,0,1,1,1,0,0,0,0,0,15,2,1,2,3,1,1,2,3
6/8/2023,13,3,3,4,3,4,1,0,1,0,0,1,1,0,6,1,1,1,1,1,1,0,0,0,9,0,3,0,0,2,2,1,1
6/9/2023,7,1,2,3,1,4,1,1,1,0,0,0,1,0,3,1,1,1,0,0,0,1,0,1,13,0,3,0,3,2,1,3,1
6/10/2023,8,0,4,2,2,6,1,1,1,0,1,1,0,1,3,0,1,0,1,0,1,1,0,1,15,3,0,3,2,2,0,3,2
6/11/2023,11,0,4,2,5,3,0,0,0,1,0,1,0,1,4,1,1,1,0,1,0,0,0,0,7,0,2,0,0,0,3,2,0
6/12/2023,9,2,1,1,5,4,1,1,0,1,0,0,1,0,4,0,1,0,1,1,1,1,0,1,11,2,2,1,1,3,0,2,0
6/13/2023,10,4,1,2,3,4,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,8,3,2,0,0,1,1,0,1
6/14/2023,6,0,3,2,1,2,1,1,0,0,0,0,0,0,3,1,1,0,0,0,1,1,1,0,11,0,0,3,1,1,2,3,1
6/15/2023,6,0,0,5,1,7,1,0,1,1,1,1,1,1,4,1,1,0,0,1,1,1,0,1,13,3,1,2,1,2,1,3,0
6/16/2023,11,0,3,5,3,2,0,1,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,11,0,1,3,0,3,2,2,0
6/17/2023,12,5,0,2,5,1,0,0,0,0,1,0,0,0,3,0,1,1,0,0,1,1,0,1,8,0,1,3,0,1,0,1,2
6/18/2023,10,3,5,1,1,5,1,0,1,1,1,0,1,0,3,0,1,0,1,1,0,1,0,1,9,1,1,0,3,0,0,1,3
6/19/2023,10,3,3,0,4,6,1,1,1,1,1,1,0,0,4,0,1,1,1,1,0,1,1,0,6,1,0,2,0,0,1,2,0
6/20/2023,8,1,1,2,4,4,1,0,1,1,1,0,0,0,4,1,0,1,1,1,0,1,0,1,6,1,2,1,0,0,2,0,0
6/21/2023,8,1,2,0,5,4,0,1,0,1,1,0,0,1,4,0,1,0,1,1,1,1,1,0,11,2,0,0,3,3,1,2,0
6/22/2023,10,5,0,5,0,4,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,12,2,3,1,3,0,0,2,1
6/23/2023,8,0,2,2,4,3,1,0,0,0,0,1,0,1,4,1,1,0,0,1,1,0,0,0,20,2,3,2,2,2,3,3,3
6/24/2023,7,2,4,1,0,6,1,1,1,0,0,1,1,1,4,1,1,0,1,0,1,1,0,1,10,0,3,1,2,2,2,0,0
6/25/2023,10,0,3,2,5,2,1,0,0,0,0,0,1,0,4,1,1,1,1,0,0,1,0,1,14,3,2,3,2,0,2,2,0
6/26/2023,14,4,4,5,1,2,0,1,0,1,0,0,0,0,3,0,1,0,1,0,1,0,0,0,13,1,3,2,2,1,1,0,3
6/27/2023,3,1,1,1,0,3,0,0,1,1,1,0,0,0,2,0,0,1,1,0,0,1,0,1,7,0,2,3,2,0,0,0,0
6/28/2023,8,2,1,4,1,1,0,1,0,0,0,0,0,0,3,0,1,1,0,0,1,0,0,0,11,2,0,1,3,1,2,0,2
6/29/2023,6,0,1,2,3,6,1,0,1,1,1,1,0,1,3,0,1,1,1,0,0,2,1,1,11,3,1,0,0,1,3,0,3
